,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
8,2515,363,2878,6.928374655647383
11,3373,173,3546,19.4971098265896
18,1046,148,1194,7.067567567567568
21,2035,148,2183,13.75
35,1338,148,1486,9.04054054054054
37,1377,1153,2530,1.194275802254987
40,3855,127,3982,30.35433070866142
53,2911,90,3001,32.34444444444444
57,3144,203,3347,15.48768472906404
59,1701,140,1841,12.15
60,1832,195,2027,9.394871794871795
65,3531,130,3661,27.161538461538463
67,1210,295,1505,4.101694915254237
94,3364,160,3524,21.025
99,3453,137,3590,25.204379562043798
103,3753,231,3984,16.246753246753247
110,2399,180,2579,13.327777777777778
113,2256,74,2330,30.486486486486488
126,2663,173,2836,15.393063583815028
133,3346,94,3440,35.59574468085106
135,3885,200,4085,19.425
138,3115,291,3406,10.70446735395189
147,3037,175,3212,17.354285714285716
155,2969,73,3042,40.67123287671233
162,2155,207,2362,10.41062801932367
165,2404,303,2707,7.933993399339934
179,2154,203,2357,10.610837438423646
183,3934,126,4060,31.22222222222222
186,1361,180,1541,7.561111111111111
189,1418,202,1620,7.01980198019802
202,3609,340,3949,10.614705882352942
207,2720,1324,4044,2.054380664652568
208,2268,309,2577,7.339805825242719
216,1555,226,1781,6.880530973451328
218,3184,113,3297,28.17699115044248
239,3464,145,3609,23.889655172413796
247,2496,193,2689,12.932642487046632
251,2379,122,2501,19.5
255,2003,81,2084,24.7283950617284
256,3291,297,3588,11.08080808080808
265,2045,291,2336,7.027491408934708
270,2537,132,2669,19.21969696969697
275,1834,263,2097,6.973384030418251
278,2688,95,2783,28.294736842105262
281,3130,79,3209,39.62025316455696
302,1521,43,1564,35.372093023255815
335,3332,300,3632,11.106666666666667
337,3093,214,3307,14.453271028037385
355,1843,147,1990,12.537414965986397
363,3312,310,3622,10.683870967741935
367,1976,89,2065,22.202247191011235
385,3217,131,3348,24.557251908396942
386,1253,134,1387,9.350746268656716
388,3819,173,3992,22.07514450867052
393,2552,265,2817,9.630188679245284
407,3431,110,3541,31.19090909090909
418,3551,211,3762,16.829383886255926
421,3367,118,3485,28.533898305084747
431,2456,91,2547,26.98901098901099
434,1450,112,1562,12.946428571428571
438,3508,167,3675,21.005988023952096
442,1831,267,2098,6.857677902621723
447,3686,367,4053,10.043596730245232
460,3149,90,3239,34.98888888888889
467,2996,148,3144,20.24324324324324
468,3544,140,3684,25.314285714285717
469,1643,307,1950,5.351791530944626
470,1689,102,1791,16.558823529411764
488,2432,293,2725,8.300341296928327
501,3621,130,3751,27.853846153846156
502,3873,146,4019,26.52739726027397
511,2873,105,2978,27.36190476190476
522,1912,235,2147,8.136170212765958
534,2346,157,2503,14.94267515923567
540,2977,135,3112,22.05185185185185
541,1668,375,2043,4.448
543,2312,90,2402,25.68888888888889
544,3699,91,3790,40.64835164835165
546,3538,83,3621,42.62650602409639
548,3173,134,3307,23.67910447761194
555,18,3356,3374,0.0053635280095351
561,2919,37,2956,78.89189189189189
574,222,3616,3838,0.0613938053097345
577,702,3063,3765,0.2291870714985308
584,1312,132,1444,9.93939393939394
590,2089,251,2340,8.322709163346614
592,3233,113,3346,28.61061946902655
595,3769,285,4054,13.224561403508773
